NAME,Crop,Year,AW,Total_Land ,TW
Imperial,Alfalfa,1000,7.24,187360,1356496.137
Imperial,Alfalfa,2003,6.98,187360,1308039.817
Imperial,Alfalfa,2001,6.77,187020,1265226.286
Imperial,Alfalfa,2000,7.04,185500,1306571.81
Imperial,Alfalfa,1998,6.5,182620,1186857.074
Imperial,Alfalfa,1999,5.73,174780,1001251.775
Imperial,Alfalfa,2007,7.41,149920,1111433.478
Imperial,Alfalfa,2006,7.48,149390,1117943.418
Kern,Alfalfa,2005,4.42,148290,655843.1236
Kern,Alfalfa,2003,4.97,146300,727810.6612
Imperial,Alfalfa,2010,7.1,145230,1031731.052
Imperial,Alfalfa,2015,7.32,144980,1061253.6
Imperial,Alfalfa,2012,7.7,143190,1102563
Imperial,Alfalfa,2005,6.81,143080,974418.6858
Kern,Alfalfa,2004,5.08,142870,726444.7782
Imperial,Alfalfa,2004,7.2,142720,1027601.113
Kern,Alfalfa,2002,5.19,139800,725274.6395
Kern,Alfalfa,2009,5.62,135780,762504.078
Imperial,Alfalfa,2014,8.7,132780,1155186
Kern,Alfalfa,2000,5.07,128400,650646.1393
Imperial,Alfalfa,2011,4.4,127220,559768
Kern,Alfalfa,2012,5.47,125000,683750
Kern,Alfalfa,1999,5.09,124420,632890.4914
Imperial,Alfalfa,2013,6.35,122860,780161
Kern,Alfalfa,2011,4.82,122000,588040
Imperial,Alfalfa,2009,7.27,120810,878801.9031
Kern,Alfalfa,2010,5.08,119840,609060.5591
Imperial,Alfalfa,2008,7.45,117450,875471.3247
Kern,Alfalfa,2007,4.95,116790,578445.1446
Kern,Alfalfa,2001,5.15,115560,595134
Fresno,Alfalfa,1998,3.46,114100,395015.7351
Kern,Alfalfa,2013,5.83,113500,661705
Kern,Alfalfa,2006,4.38,112380,491839.4365
Fresno,Alfalfa,2001,4.92,111300,547315.1078
Kern,Alfalfa,2008,0,110200,624834
Fresno,Alfalfa,2000,4.38,108700,476400.7247
Kern,Alfalfa,2014,5.98,106500,636870
Tulare,Alfalfa,2002,5.34,104700,558776.0157
Kern,Alfalfa,1998,3.85,104120,400967.7177
Tulare,Alfalfa,1998,3.49,100300,349778.861
Fresno,Alfalfa,1999,4.9,99500,487240.9859
Tulare,Alfalfa,2004,5.3,98900,524372.9574
Kern,Alfalfa,2015,5.66,98300,556378
Tulare,Alfalfa,2003,4.95,98300,486793.511
Tulare,Alfalfa,2006,4.44,98300,436260.443
Tulare,Alfalfa,2005,4.5,97800,439823.2931
Tulare,Alfalfa,2012,5.51,96900,533919
Tulare,Alfalfa,2008,0,95400,0
Tulare,Alfalfa,1999,4.94,93600,462633.005
Tulare,Alfalfa,2001,5.41,90900,491679.0275
Tulare,Alfalfa,2000,4.85,90100,437371.4452
Modoc,Alfalfa,2012,2.74,88536,242588.64
Merced,Alfalfa,2002,5.26,87400,459423.057
Fresno,Alfalfa,2008,0,84600,479682
Merced,Alfalfa,2003,5.01,83500,418473.4764
Tulare,Alfalfa,2007,5.2,83500,433810.2099
Fresno,Alfalfa,2002,5.04,83300,420168.1049
Merced,Alfalfa,2015,5.37,83200,446784
Fresno,Alfalfa,2009,5.59,82700,462352.8165
Merced,Alfalfa,2000,4.73,82500,390060.0122
Merced,Alfalfa,2014,5.66,81300,460158
Merced,Alfalfa,2008,0,81100,0
Merced,Alfalfa,2010,4.65,80900,376213.9104
Merced,Alfalfa,2007,5.72,80800,462355.5634
Merced,Alfalfa,2013,5.53,80700,446271
Merced,Alfalfa,2012,5.34,80500,429870
Merced,Alfalfa,2006,4.89,80200,391987.4112
Tulare,Alfalfa,2013,5.53,78800,435764
Merced,Alfalfa,2001,5.04,78600,395935.6025
Fresno,Alfalfa,2003,4.74,78300,370875.5062
Tulare,Alfalfa,2011,4.81,78100,375661
Fresno,Alfalfa,2007,5.43,77900,422997
Siskiyou,Alfalfa,2010,2.88,77803,224241.2864
Merced,Alfalfa,2004,5.57,76200,424472.8924
Fresno,Alfalfa,2006,4.57,75900,346925.6534
Merced,Alfalfa,1998,3.63,75900,275664.8417
Merced,Alfalfa,2005,4.34,75900,329279.7492
Merced,Alfalfa,1999,4.88,74000,361238.5969
Kings,Alfalfa,2003,4.97,73700,366037.1854
Merced,Alfalfa,2011,4.31,73600,317216
Kings,Alfalfa,2008,0,73100,0
Fresno,Alfalfa,2005,4.09,72600,296857.7968
Kings,Alfalfa,2002,5.22,71700,374487.4726
Fresno,Alfalfa,2004,5.33,69700,371397.7426
Fresno,Alfalfa,2012,5.34,68500,365790
San Joaquin,Alfalfa,2006,4.98,68163,339777.3096
Fresno,Alfalfa,2010,4.59,67500,309809.9873
Riverside,Alfalfa,1998,5.25,67420,353991.7898
Riverside,Alfalfa,1999,5.53,67250,371790.701
Kings,Alfalfa,2006,4.58,67200,307456.8907
Riverside,Alfalfa,2000,6.18,64820,400736.031
Riverside,Alfalfa,2002,7.49,64740,484899.5314
Kings,Alfalfa,1998,3.75,63700,239048.5367
San Joaquin,Alfalfa,2007,6.36,63281,402254.9535
Riverside,Alfalfa,2003,6.87,63280,434867.2591
Riverside,Alfalfa,2001,5.78,62680,362574.1095
Riverside,Alfalfa,2014,8.86,62560,554281.6
San Joaquin,Alfalfa,2008,6.24,61925,386612.3013
Kings,Alfalfa,2000,4.73,61900,292496.1038
San Joaquin,Alfalfa,2002,5.61,61301,344150.4058
Kings,Alfalfa,2001,5.22,61000,318169.9618
San Joaquin,Alfalfa,2005,4.98,60658,301990.952
Kings,Alfalfa,2004,5.08,60600,308130.1432
Kings,Alfalfa,2010,4.95,60600,299675.3239
Fresno,Alfalfa,2011,4.52,60200,272104
Riverside,Alfalfa,2013,9.82,59580,585075.6
Riverside,Alfalfa,2015,5.89,59430,350042.7
Kings,Alfalfa,2009,5.56,59100,328804.9447
San Joaquin,Alfalfa,2004,5.48,58671,321772.9816
Siskiyou,Alfalfa,2012,2.3,58466,134471.8
Riverside,Alfalfa,2004,7,58240,407835.0221
San Joaquin,Alfalfa,1999,5.26,58100,305368.4874
Tulare,Alfalfa,2015,5.51,58000,319580
San Joaquin,Alfalfa,2014,4.3,57701,248114.3
San Joaquin,Alfalfa,1998,3.72,57700,214658.4034
Kings,Alfalfa,2007,5.28,57600,303859.454
Tulare,Alfalfa,2014,5.67,57600,326592
Siskiyou,Alfalfa,2006,2.98,57441,171037.9448
Riverside,Alfalfa,2012,5.85,57440,336024
San Joaquin,Alfalfa,2003,5.39,57384,309089.8006
Kings,Alfalfa,1999,4.98,57100,284113.7697
San Joaquin,Alfalfa,2012,4.18,57100,238678
Siskiyou,Alfalfa,2007,3.06,56711,173677.2741
Riverside,Alfalfa,2006,7.21,56600,408039.9611
Yolo,Alfalfa,2006,4.42,56400,249173.4357
Riverside,Alfalfa,2008,7.59,55910,424403.704
San Joaquin,Alfalfa,2013,4.19,55101,230873.19
Modoc,Alfalfa,2015,2.33,54991,128129.03
San Joaquin,Alfalfa,2015,4.22,54901,231682.22
Modoc,Alfalfa,2013,2.53,54248,137247.44
Modoc,Alfalfa,2014,2.8,54248,151894.4
San Joaquin,Alfalfa,2001,5.6,54200,303545.7983
Yolo,Alfalfa,2008,5.6,53964,302454.6055
Siskiyou,Alfalfa,2005,2.55,53519,136348.7871
Riverside,Alfalfa,2005,6.44,53460,344388.8424
Siskiyou,Alfalfa,2008,2.97,53406,158567.8811
San Joaquin,Alfalfa,2011,3.51,53401,187437.51
Kings,Alfalfa,2005,4.28,53100,227395.1618
Kings,Alfalfa,2012,5.47,53000,289910
Riverside,Alfalfa,2007,7.68,52900,406019.61
Yolo,Alfalfa,2003,5.03,52769,265168.5285
Solano,Alfalfa,2010,4.54,52503,238573.0948
Siskiyou,Alfalfa,2014,2.56,52310,133913.6
San Joaquin,Alfalfa,2000,5.23,52100,272329.8319
Siskiyou,Alfalfa,1999,2.93,51700,151295.0253
Siskiyou,Alfalfa,2013,2.49,51639,128581.11
Yolo,Alfalfa,2007,5.76,51352,296001.829
Fresno,Alfalfa,2013,5.34,51000,272340
Riverside,Alfalfa,2011,4.29,50240,215529.6
Yolo,Alfalfa,2002,5.48,50236,275439.2325
Fresno,Alfalfa,2014,5.65,50200,283630
Yolo,Alfalfa,2004,5.63,49927,281013.9193
Siskiyou,Alfalfa,1998,2.25,49700,112020.4605
Solano,Alfalfa,2006,4.39,49238,215993.5374
Siskiyou,Alfalfa,2004,2.97,49215,145998.7877
Yolo,Alfalfa,2009,5.34,48651,259610.5528
Kings,Alfalfa,2011,4.8,48500,232800
Siskiyou,Alfalfa,2003,2.96,48148,142510.5867
Siskiyou,Alfalfa,2002,3.1,47762,148162.5895
Siskiyou,Alfalfa,2000,2.9,47400,137255.3055
San Joaquin,Alfalfa,2009,5.44,46784,254694.8896
Siskiyou,Alfalfa,2015,2.28,46266,105486.48
Kings,Alfalfa,2013,5.63,45600,256728
Fresno,Alfalfa,2015,5.58,44000,245520
Siskiyou,Alfalfa,2011,2.08798890270295,43434,90689.71
