NAME,crop,year,AW,Total_Land,TW,Adjusted Price,Adjusted Total Production Value,Adjusted Gross Revenue
Alameda,Alfalfa,1998,4.12,100.0,411.8,165.89,0.39992,978.78
Alameda,Alfalfa,1999,5.44,100.0,544.1,163.15,0.44682,929.94
Alameda,Alfalfa,2000,5.59,200.0,1117.6,130.67,0.24392,470.42
Alameda,Alfalfa,2001,6.03,200.0,1205.8,172.39,0.53729,861.96
Alameda,Alfalfa,2002,5.94,767.0,4553.33,142.76,0.63385,728.08
Alameda,Alfalfa,2003,5.65,682.0,3855.73,140.17,0.61818,797.58
Alameda,Alfalfa,2004,5.97,730.0,4361.06,181.88,1.16948,1409.62
Alameda,Alfalfa,2005,5.35,663.0,3547.58,199.84,0.6575,873.3
Alameda,Alfalfa,2006,5.31,370.0,1965.47,194.24,0.40575,1043.06
Alameda,Alfalfa,2007,6.45,645.0,4159.99,239.99,0.83756,1233.52
Alameda,Alfalfa,2008,6.56,470.0,3084.48,266.94,0.70336,1420.1
Alameda,Alfalfa,2009,5.46,246.0,1343.31,170.52,0.25288,977.1
Alameda,Alfalfa,2010,5.57,1018.0,5666.99,127.96,0.63472,593.75
Alameda,Alfalfa,2011,3.15,704.0,2217.6,282.5,0.91813,1305.16
Alameda,Alfalfa,2012,3.44,789.0,2714.16,295.85,1.18045,1496.99
Alameda,Alfalfa,2013,3.75,529.0,1983.75,283.12,0.81935,1548.68
Alameda,Alfalfa,2014,3.83,524.0,2006.92,296.25,0.73175,1395.36
Alameda,Alfalfa,2015,3.82,355.0,1356.1,237.14,0.23666,666.36
Alameda,Alfalfa,2016,4.14,1030.0,4262.67,209.74,0.58097,1090.66
Alameda,Alfalfa,2017,3.57,159.49,569.38,219.21,0.17931,594.05
Alameda,Alfalfa,2018,4.6,205.6,945.76,293.46,0.13089,551.71
Alameda,Alfalfa,2019,3.85,149.04,573.8,289.92,0.12931,545.05
Alameda,Alfalfa,2020,4.69,77.73,364.55,258.54,0.48346,1421.96
Alameda,Alfalfa,2020,4.69,77.73,364.55,0.0,0.0,0.0
Alameda,Almonds & Pistachios,2005,3.85,90.0,346.59,,,
Alameda,Almonds & Pistachios,2006,3.72,128.0,476.16,,,
Alameda,Almonds & Pistachios,2007,4.68,128.0,599.17,,,
Alameda,Almonds & Pistachios,2009,3.95,128.0,505.47,,,
Alameda,Almonds & Pistachios,2010,4.01,132.0,529.58,,,
Alameda,Almonds & Pistachios,2011,2.09,142.0,296.78,,,
Alameda,Almonds & Pistachios,2012,2.62,133.0,348.46,,,
Alameda,Almonds & Pistachios,2013,2.09,133.0,277.97,,,
Alameda,Almonds & Pistachios,2014,2.15,212.0,455.8,,,
Alameda,Almonds & Pistachios,2015,2.17,132.0,286.44,,,
Alameda,Almonds & Pistachios,2016,2.82,775.0,2185.21,,,
Alameda,Almonds & Pistachios,2017,2.91,1076.34,3128.66,,,
Alameda,Almonds & Pistachios,2018,3.18,816.33,2597.41,,,
Alameda,Almonds & Pistachios,2019,3.37,805.43,2716.95,,,
Alameda,Almonds & Pistachios,2020,3.2,1527.73,4892.03,,,
Alameda,Citrus & Subtropical,2004,3.76,50.0,188.2,,,
Alameda,Citrus & Subtropical,2005,3.09,130.0,401.96,,,
Alameda,Citrus & Subtropical,2006,2.81,151.0,423.96,,,
Alameda,Citrus & Subtropical,2007,3.95,151.0,596.29,,,
Alameda,Citrus & Subtropical,2008,3.91,279.0,1090.62,,,
Alameda,Citrus & Subtropical,2009,3.19,151.0,481.33,,,
Alameda,Citrus & Subtropical,2010,3.2,102.0,326.39,,,
Alameda,Citrus & Subtropical,2011,1.84,73.0,134.32,,,
Alameda,Citrus & Subtropical,2012,2.28,45.0,102.6,,,
Alameda,Citrus & Subtropical,2013,2.37,30.0,71.1,,,
Alameda,Citrus & Subtropical,2014,2.27,11.0,24.97,,,
