Year,Commodity Code,Crop Name,County Code,County,Harvested Acres,Yield,Production,Price P/U,Unit,Value
2022,,"Alfalfa, All",1,Alameda,95.0,,,,,125000.0
2022,,"Alfalfa, All",5,Amador,855.0,,,,,1881000.0
2022,,"Alfalfa, All",7,Butte,520.0,,,,,637000.0
2022,,"Alfalfa, All",11,Colusa,7440.0,,,,,13987000.0
2022,,"Alfalfa, All",13,Contra Costa,1730.0,,,,,1549000.0
2022,,"Alfalfa, All",19,Fresno,24500.0,,,,,58830000.0
2022,,"Alfalfa, All",21,Glenn,8930.0,,,,,19772000.0
2022,,"Alfalfa, All",25,Imperial,148000.0,,,,,269735000.0
2022,,"Alfalfa, All",27,Inyo,,,,,,3629000.0
2022,,"Alfalfa, All",31,Kings,20800.0,,,,,67540000.0
2022,,"Alfalfa, All",35,Lassen,23100.0,,,,,36374000.0
2022,,"Alfalfa, All",39,Madera,7900.0,,,,,26845000.0
2022,,"Alfalfa, All",47,Merced,41100.0,,,,,117533000.0
2022,,"Alfalfa, All",49,Modoc,36400.0,,,,,85176000.0
2022,,"Alfalfa, All",51,Mono,,,,,,20793000.0
2022,,"Alfalfa, All",53,Monterey,694.0,,,,,434000.0
2022,,"Alfalfa, All",63,Plumas,5480.0,,,,,6478000.0
2022,,"Alfalfa, All",65,Riverside,42500.0,,,,,108448000.0
2022,,"Alfalfa, All",67,Sacramento,12600.0,,,,,22486000.0
2022,,"Alfalfa, All",71,San Bernardino,2920.0,,,,,6347000.0
2022,,"Alfalfa, All",77,San Joaquin,40200.0,,,,,105052000.0
2022,,"Alfalfa, All",79,San Luis Obispo,1030.0,,,,,2842000.0
2022,,"Alfalfa, All",89,Shasta,2700.0,,,,,5166000.0
2022,,"Alfalfa, All",91,Sierra,3220.0,,,,,3807000.0
2022,,"Alfalfa, All",93,Siskiyou,35000.0,,,,,45712000.0
2022,,"Alfalfa, All",95,Solano,16200.0,,,,,30946000.0
2022,,"Alfalfa, All",101,Sutter,3880.0,,,,,7075000.0
2022,,"Alfalfa, All",103,Tehama,1130.0,,,,,1552000.0
2022,,"Alfalfa, All",107,Tulare,28900.0,,,,,128289000.0
2022,,"Alfalfa, All",113,Yolo,20200.0,,,,,39324000.0
2022,,"Alfalfa, All",115,Yuba,147.0,,,,,182000.0
2022,,"Alfalfa, All",998,Sum of Others,71600.0,,,,,191095000.0
2022,,"Alfalfa, All",999,State Total,609771.0,,,,,1429641000.0
2022,181999.0,"Hay, Alfalfa",1,Alameda,95.0,6.0,570.0,219.3,Tons,125000.0
2022,181999.0,"Hay, Alfalfa",5,Amador,855.0,5.5,4700.0,400.21,Tons,1881000.0
2022,181999.0,"Hay, Alfalfa",7,Butte,520.0,3.5,1820.0,350.0,Tons,637000.0
2022,181999.0,"Hay, Alfalfa",11,Colusa,7440.0,5.44,40500.0,345.36,Tons,13987000.0
2022,181999.0,"Hay, Alfalfa",13,Contra Costa,1730.0,4.39,7600.0,203.82,Tons,1549000.0
2022,181999.0,"Hay, Alfalfa",19,Fresno,24500.0,9.06,222000.0,265.0,Tons,58830000.0
2022,181999.0,"Hay, Alfalfa",21,Glenn,8930.0,6.71,59900.0,330.08,Tons,19772000.0
2022,181999.0,"Hay, Alfalfa",25,Imperial,148000.0,5.61,830000.0,324.98,Tons,269735000.0
2022,181999.0,"Hay, Alfalfa",27,Inyo,,,9760.0,371.82,Tons,3629000.0
2022,181999.0,"Hay, Alfalfa",29,Kern,48700.0,7.86,383000.0,369.92,Tons,141680000.0
2022,181999.0,"Hay, Alfalfa",31,Kings,20800.0,8.75,182000.0,371.1,Tons,67540000.0
2022,181999.0,"Hay, Alfalfa",35,Lassen,23100.0,4.76,110000.0,330.67,Tons,36374000.0
2022,181999.0,"Hay, Alfalfa",39,Madera,7900.0,8.73,69000.0,369.25,Tons,25478000.0
2022,181999.0,"Hay, Alfalfa",47,Merced,41100.0,7.37,303000.0,347.15,Tons,105188000.0
