Year,Commodity Code,Crop Name,County Code,County,Harvested Acres,Yield,Production,Price P/U,Unit,Value,,,,,
2022,,"Alfalfa, All",1,Alameda,95,,,,,125000,,,,,
2022,,"Alfalfa, All",5,Amador,855,,,,,1881000,,,,,
2022,,"Alfalfa, All",7,Butte,520,,,,,637000,,,,,
2022,,"Alfalfa, All",11,Colusa,7440,,,,,13987000,,,,,
2022,,"Alfalfa, All",13,Contra Costa,1730,,,,,1549000,,,,,
2022,,"Alfalfa, All",19,Fresno,24500,,,,,58830000,,,,,
2022,,"Alfalfa, All",21,Glenn,8930,,,,,19772000,,,,,
2022,,"Alfalfa, All",25,Imperial,148000,,,,,269735000,,,,,
2022,,"Alfalfa, All",27,Inyo,,,,,,3629000,,,,,
2022,,"Alfalfa, All",31,Kings,20800,,,,,67540000,,,,,
2022,,"Alfalfa, All",35,Lassen,23100,,,,,36374000,,,,,
2022,,"Alfalfa, All",39,Madera,7900,,,,,26845000,,,,,
2022,,"Alfalfa, All",47,Merced,41100,,,,,117533000,,,,,
2022,,"Alfalfa, All",49,Modoc,36400,,,,,85176000,,,,,
2022,,"Alfalfa, All",51,Mono,,,,,,20793000,,,,,
2022,,"Alfalfa, All",53,Monterey,694,,,,,434000,,,,,
2022,,"Alfalfa, All",63,Plumas,5480,,,,,6478000,,,,,
2022,,"Alfalfa, All",65,Riverside,42500,,,,,108448000,,,,,
2022,,"Alfalfa, All",67,Sacramento,12600,,,,,22486000,,,,,
2022,,"Alfalfa, All",71,San Bernardino,2920,,,,,6347000,,,,,
2022,,"Alfalfa, All",77,San Joaquin,40200,,,,,105052000,,,,,
2022,,"Alfalfa, All",79,San Luis Obispo,1030,,,,,2842000,,,,,
2022,,"Alfalfa, All",89,Shasta,2700,,,,,5166000,,,,,
2022,,"Alfalfa, All",91,Sierra,3220,,,,,3807000,,,,,
2022,,"Alfalfa, All",93,Siskiyou,35000,,,,,45712000,,,,,
2022,,"Alfalfa, All",95,Solano,16200,,,,,30946000,,,,,
2022,,"Alfalfa, All",101,Sutter,3880,,,,,7075000,,,,,
2022,,"Alfalfa, All",103,Tehama,1130,,,,,1552000,,,,,
2022,,"Alfalfa, All",107,Tulare,28900,,,,,128289000,,,,,
2022,,"Alfalfa, All",113,Yolo,20200,,,,,39324000,,,,,
2022,,"Alfalfa, All",115,Yuba,147,,,,,182000,,,,,
2022,,"Alfalfa, All",998,Sum of Others,71600,,,,,191095000,,,,,
2022,,"Alfalfa, All",999,State Total,609771,,,,,1429641000,,,,,
2022,181999,"Hay, Alfalfa",1,Alameda,95,6.00,570,219.30,Tons,125000,,,,,
2022,181999,"Hay, Alfalfa",5,Amador,855,5.50,4700,400.21,Tons,1881000,,,,,
2022,181999,"Hay, Alfalfa",7,Butte,520,3.50,1820,350.00,Tons,637000,,,,,
2022,181999,"Hay, Alfalfa",11,Colusa,7440,5.44,40500,345.36,Tons,13987000,,,,,
2022,181999,"Hay, Alfalfa",13,Contra Costa,1730,4.39,7600,203.82,Tons,1549000,,,,,
2022,181999,"Hay, Alfalfa",19,Fresno,24500,9.06,222000,265.00,Tons,58830000,,,,,
2022,181999,"Hay, Alfalfa",21,Glenn,8930,6.71,59900,330.08,Tons,19772000,,,,,
2022,181999,"Hay, Alfalfa",25,Imperial,148000,5.61,830000,324.98,Tons,269735000,,,,,
2022,181999,"Hay, Alfalfa",27,Inyo,,,9760,371.82,Tons,3629000,,,,,
2022,181999,"Hay, Alfalfa",29,Kern,48700,7.86,383000,369.92,Tons,141680000,,,,,
2022,181999,"Hay, Alfalfa",31,Kings,20800,8.75,182000,371.10,Tons,67540000,,,,,
2022,181999,"Hay, Alfalfa",35,Lassen,23100,4.76,110000,330.67,Tons,36374000,,,,,
2022,181999,"Hay, Alfalfa",39,Madera,7900,8.73,69000,369.25,Tons,25478000,,,,,
2022,181999,"Hay, Alfalfa",47,Merced,41100,7.37,303000,347.15,Tons,105188000,,,,,
2022,181999,"Hay, Alfalfa",49,Modoc,36400,6.51,237000,359.39,Tons,85176000,,,,,
