Year, Commodity Code, Crop Name, County Code, County, Harvested Acres, Yield, Production, Price P/U, Unit, Value,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
1998,268099,Almonds & Pistachios,7,Butte ,  ,  ,16725,64,TONS ,1070000,,,,,
1998,268099,Almonds & Pistachios,11,Colusa ,  ,  ,17500,70,TONS ,1225000,,,,,
1998,268099,Almonds & Pistachios,19,Fresno ,  ,  ,67800,77,TONS ,5221000,,,,,
1998,268099,Almonds & Pistachios,21,Glenn ,  ,  ,10151,80,TONS ,812000,,,,,
1998,268099,Almonds & Pistachios,29,Kern ,  ,  ,111000,70,TONS ,7735000,,,,,
1998,268099,Almonds & Pistachios,31,Kings ,  ,  ,1000,82,TONS ,82000,,,,,
1998,268099,Almonds & Pistachios,39,Madera ,  ,  ,58470,70,TONS ,4093000,,,,,
1998,268099,Almonds & Pistachios,47,Merced ,  ,  ,84845,72,TONS ,6128000,,,,,
1998,268099,Almonds & Pistachios,77,San Joaquin ,  ,  ,55500,99,TONS ,5513000,,,,,
1998,268099,Almonds & Pistachios,95,Solano ,  ,  ,749,61,TONS ,45700,,,,,
1998,268099,Almonds & Pistachios,99,Stanislaus ,  ,  ,86900,73,TONS ,6344000,,,,,
1998,268099,Almonds & Pistachios,101,Sutter ,  ,  ,685,70,TONS ,48000,,,,,
1998,268099,Almonds & Pistachios,107,Tulare ,  ,  ,27900,80,TONS ,2232000,,,,,
1998,268099,Almonds & Pistachios,115,Yuba ,  ,  ,709,71,TONS ,50000,,,,,
1998,268099,Almonds & Pistachios,999, State Totals,0,  ,539934,75,    ,40598700,,,,,
1998,261999,Almonds & Pistachios,7,Butte ,31117,0.47,14625,3009,TONS ,44007000,,,,,
1998,261999,Almonds & Pistachios,11,Colusa ,20150,0.62,12493,3100,TONS ,38728000,,,,,
1998,261999,Almonds & Pistachios,19,Fresno ,46968,0.76,35700,3360,TONS ,119952000,,,,,
1998,261999,Almonds & Pistachios,21,Glenn ,21339,0.39,8322,2925,TONS ,24342000,,,,,
1998,261999,Almonds & Pistachios,29,Kern ,79587,0.62,49300,3205,TONS ,157984000,,,,,
1998,261999,Almonds & Pistachios,31,Kings ,2097,0.90,1887,3217,TONS ,6070000,,,,,
1998,261999,Almonds & Pistachios,39,Madera ,43635,0.67,29235,3100,TONS ,90629000,,,,,
1998,261999,Almonds & Pistachios,47,Merced ,74182,0.51,37605,2880,TONS ,108302000,,,,,
1998,261999,Almonds & Pistachios,67,Sacramento ,158,0.50,79,3000,TONS ,237000,,,,,
1998,261999,Almonds & Pistachios,77,San Joaquin ,38500,0.58,22200,3594,TONS ,79778000,,,,,
1998,261999,Almonds & Pistachios,95,Solano ,1501,0.40,600,3113,TONS ,1868000,,,,,
1998,261999,Almonds & Pistachios,99,Stanislaus ,87000,0.70,60900,2900,TONS ,176610000,,,,,
1998,261999,Almonds & Pistachios,101,Sutter ,4026,0.68,2738,3018,TONS ,8262800,,,,,
1998,261999,Almonds & Pistachios,103,Tehama ,5650,0.59,3330,2873,TONS ,9566000,,,,,
1998,261999,Almonds & Pistachios,107,Tulare ,13395,0.82,11000,3400,TONS ,37400000,,,,,
1998,261999,Almonds & Pistachios,113,Yolo ,5879,0.40,2352,3161,TONS ,7434000,,,,,
1998,261999,Almonds & Pistachios,115,Yuba ,1181,0.48,567,3189,TONS ,1808000,,,,,
1998,261999,Almonds & Pistachios,991,Sum of Others ,1202,  ,  ,  ,  ,6100,,,,,
1998,261999,Almonds & Pistachios,999, State Totals,477567,0.61,292933,3117,    ,912983900,,,,,
1998,333999,Truck Crops,53,Monterey ,492,12.19,5999,541,TONS ,3243000,,,,,
1998,333999,Truck Crops,991,Sum of Others ,208,  ,  ,  ,  ,1506600,,,,,
1998,333999,Truck Crops,999, State Totals,700,12.19,5999,541,    ,4749600,,,,,
1998,484999,,89,Shasta ,  ,  ,4400,31,EACH ,138400,,,,,
1998,484999,,999, State Totals,0,  ,4400,31,    ,138400,,,,,
1998,483999,,11,Colusa ,  ,  ,7000,6,LBS ,42000,,,,,
1998,483999,,21,Glenn ,  ,  ,101000,6,LBS ,610000,,,,,
1998,483999,,47,Merced ,  ,  ,63296,7,LBS ,421000,,,,,
1998,483999,,89,Shasta ,  ,  ,17800,6,LBS ,107500,,,,,
1998,483999,,95,Solano ,  ,  ,4600,9,LBS ,42000,,,,,
1998,483999,,99,Stanislaus ,  ,  ,1600,4,LBS ,6400,,,,,
1998,483999,,101,Sutter ,  ,  ,7700,9,LBS ,69300,,,,,
1998,483999,,999, State Totals,0,  ,202996,6,    ,1298200,,,,,
1998,485999,,11,Colusa ,  ,  ,33000,7,EACH ,231000,,,,,
1998,485999,,21,Glenn ,  ,  ,85000,7,EACH ,614000,,,,,
1998,485999,,47,Merced ,  ,  ,30784,5,EACH ,168000,,,,,
1998,485999,,59,Orange ,  ,  ,403,8,EACH ,3300,,,,,
1998,485999,,65,Riverside ,  ,  ,500,8,EACH ,4000,,,,,
1998,485999,,89,Shasta ,  ,  ,88300,8,EACH ,670200,,,,,
1998,485999,,95,Solano ,  ,  ,13500,8,EACH ,104600,,,,,
1998,485999,,99,Stanislaus ,  ,  ,12960,7,EACH ,86300,,,,,
1998,485999,,101,Sutter ,  ,  ,22420,5,EACH ,123300,,,,,
1998,485999,,999, State Totals,0,  ,286867,7,    ,2004700,,,,,
1998,489999,,7,Butte ,  ,  ,  ,  ,  ,325000,,,,,
1998,489999,,9,Calaveras ,  ,  ,  ,  ,  ,551600,,,,,
1998,489999,,17,El Dorado ,  ,  ,  ,  ,  ,274500,,,,,
1998,489999,,29,Kern ,  ,  ,  ,  ,  ,283000,,,,,
1998,489999,,43,Mariposa ,  ,  ,  ,  ,  ,40000,,,,,
1998,489999,,59,Orange ,  ,  ,  ,  ,  ,500,,,,,
1998,489999,,61,Placer ,  ,  ,  ,  ,  ,545000,,,,,
1998,489999,,67,Sacramento ,  ,  ,  ,  ,  ,159000,,,,,
1998,489999,,73,San Diego ,  ,  ,  ,  ,  ,130200,,,,,
1998,489999,,97,Sonoma ,  ,  ,  ,  ,  ,116500,,,,,
1998,489999,,103,Tehama ,  ,  ,  ,  ,  ,766000,,,,,
1998,489999,,109,Tuolumne ,  ,  ,  ,  ,  ,458000,,,,,
1998,489999,,113,Yolo ,  ,  ,  ,  ,  ,1180000,,,,,
1998,489999,,115,Yuba ,  ,  ,  ,  ,  ,70000,,,,,
1998,489999,,991,Sum of Others ,  ,  ,  ,  ,  ,813400,,,,,
1998,489999,,999, State Totals,0,  ,0,  ,    ,5712700,,,,,
1998,482999,,1,Alameda ,  ,  ,1000,3,LBS ,3000,,,,,
1998,482999,,13,Contra Costa ,  ,  ,250,1,LBS ,300,,,,,
1998,482999,,19,Fresno ,  ,  ,49500,2,LBS ,79000,,,,,
1998,482999,,21,Glenn ,  ,  ,9000,2,LBS ,16000,,,,,
1998,482999,,25,Imperial ,  ,  ,52380,1,LBS ,65000,,,,,
1998,482999,,29,Kern ,  ,  ,682000,1,LBS ,990000,,,,,
1998,482999,,31,Kings ,  ,  ,50659,1,LBS ,73000,,,,,
1998,482999,,37,Los Angeles ,  ,  ,9100,2,LBS ,19400,,,,,
1998,482999,,47,Merced ,  ,  ,39331,2,LBS ,66000,,,,,
1998,482999,,53,Monterey ,  ,  ,1382,2,LBS ,3100,,,,,
1998,482999,,59,Orange ,  ,  ,645,2,LBS ,1200,,,,,
1998,482999,,65,Riverside ,  ,  ,183000,2,LBS ,430100,,,,,
1998,482999,,71,San Bernardino ,  ,  ,23000,1,LBS ,34400,,,,,
1998,482999,,73,San Diego ,  ,  ,  ,  ,  ,19600,,,,,
1998,482999,,77,San Joaquin ,  ,  ,6600,1,LBS ,8900,,,,,
1998,482999,,81,San Mateo ,  ,  ,500,6,LBS ,3000,,,,,
1998,482999,,89,Shasta ,  ,  ,27000,2,LBS ,42400,,,,,
1998,482999,,95,Solano ,  ,  ,1425,2,LBS ,2900,,,,,
1998,482999,,99,Stanislaus ,  ,  ,5200,1,LBS ,7200,,,,,
1998,482999,,101,Sutter ,  ,  ,8554,2,LBS ,14900,,,,,
1998,482999,,107,Tulare ,  ,  ,142000,1,LBS ,209000,,,,,
1998,482999,,111,Ventura ,  ,  ,4504,2,LBS ,10000,,,,,
1998,482999,,991,Sum of Others ,  ,  ,  ,  ,  ,12200,,,,,
1998,482999,,999, State Totals,0,  ,1297030,2,    ,2110600,,,,,
1998,481999,,1,Alameda ,  ,  ,40000,1,LBS ,22000,,,,,
1998,481999,,11,Colusa ,  ,  ,180000,1,LBS ,108000,,,,,
1998,481999,,13,Contra Costa ,  ,  ,20000,2,LBS ,34000,,,,,
1998,481999,,19,Fresno ,  ,  ,1727000,1,LBS ,1019000,,,,,
1998,481999,,21,Glenn ,  ,  ,650000,1,LBS ,396000,,,,,
1998,481999,,25,Imperial ,  ,  ,1846421,1,LBS ,986000,,,,,
1998,481999,,27,Inyo ,  ,  ,137500,1,LBS ,123800,,,,,
1998,481999,,29,Kern ,  ,  ,5460000,1,LBS ,3385000,,,,,
1998,481999,,31,Kings ,  ,  ,3039576,1,LBS ,1945000,,,,,
1998,481999,,37,Los Angeles ,  ,  ,3036000,1,LBS ,1973400,,,,,
1998,481999,,39,Madera ,  ,  ,580800,1,LBS ,348000,,,,,
1998,481999,,43,Mariposa ,  ,  ,216000,1,LBS ,134000,,,,,
1998,481999,,47,Merced ,  ,  ,2556525,1,LBS ,1483000,,,,,
1998,481999,,53,Monterey ,  ,  ,38885,1,LBS ,25300,,,,,
1998,481999,,59,Orange ,  ,  ,42958,1,LBS ,32700,,,,,
1998,481999,,65,Riverside ,  ,  ,7320000,1,LBS ,4465200,,,,,
1998,481999,,71,San Bernardino ,  ,  ,1377400,1,LBS ,826400,,,,,
1998,481999,,73,San Diego ,  ,  ,  ,  ,  ,1003000,,,,,
1998,481999,,77,San Joaquin ,  ,  ,195000,1,LBS ,107000,,,,,
1998,481999,,79,San Luis Obispo ,  ,  ,221000,1,LBS ,146000,,,,,
1998,481999,,81,San Mateo ,  ,  ,43000,3,LBS ,129000,,,,,
1998,481999,,89,Shasta ,  ,  ,464900,1,LBS ,302200,,,,,
1998,481999,,95,Solano ,  ,  ,118600,1,LBS ,67600,,,,,
