Year,Commodity Code,Crop Name,County Code,County,Harvested Acres,Yield,Production,Price P/U,Unit,Value
2021,,"Alfalfa, All",1,Alameda,95.0,,,,,125000.0
2021,,"Alfalfa, All",5,Amador,855.0,,,,,1590000.0
2021,,"Alfalfa, All",7,Butte,507.0,,,,,536000.0
2021,,"Alfalfa, All",11,Colusa,7770.0,,,,,11300000.0
2021,,"Alfalfa, All",13,Contra Costa,1730.0,,,,,1549000.0
2021,,"Alfalfa, All",19,Fresno,26000.0,,,,,56628000.0
2021,,"Alfalfa, All",21,Glenn,7750.0,,,,,12688000.0
2021,,"Alfalfa, All",25,Imperial,151000.0,,,,,251683000.0
2021,,"Alfalfa, All",27,Inyo,,,,,,2611000.0
2021,,"Alfalfa, All",29,Kern,53900.0,,,,,89602000.0
2021,,"Alfalfa, All",31,Kings,22400.0,,,,,45995000.0
2021,,"Alfalfa, All",39,Madera,,,,,,18666000.0
2021,,"Alfalfa, All",47,Merced,44400.0,,,,,68462000.0
2021,,"Alfalfa, All",49,Modoc,39900.0,,,,,57364000.0
2021,,"Alfalfa, All",51,Mono,,,,,,14844000.0
2021,,"Alfalfa, All",53,Monterey,730.0,,,,,389000.0
2021,,"Alfalfa, All",63,Plumas,5480.0,,,,,4024000.0
2021,,"Alfalfa, All",65,Riverside,56200.0,,,,,82800000.0
2021,,"Alfalfa, All",67,Sacramento,13200.0,,,,,18028000.0
2021,,"Alfalfa, All",71,San Bernardino,4210.0,,,,,6542000.0
2021,,"Alfalfa, All",77,San Joaquin,41100.0,,,,,62646000.0
2021,,"Alfalfa, All",79,San Luis Obispo,1420.0,,,,,1872000.0
2021,,"Alfalfa, All",89,Shasta,2400.0,,,,,3128000.0
2021,,"Alfalfa, All",91,Sierra,3220.0,,,,,2001000.0
2021,,"Alfalfa, All",93,Siskiyou,35000.0,,,,,45712000.0
2021,,"Alfalfa, All",95,Solano,23200.0,,,,,28606000.0
2021,,"Alfalfa, All",99,Stanislaus,13400.0,,,,,22353000.0
2021,,"Alfalfa, All",101,Sutter,3690.0,,,,,5338000.0
2021,,"Alfalfa, All",103,Tehama,1250.0,,,,,1704000.0
2021,,"Alfalfa, All",107,Tulare,34800.0,,,,,109603000.0
2021,,"Alfalfa, All",113,Yolo,23800.0,,,,,34336000.0
2021,,"Alfalfa, All",115,Yuba,237.0,,,,,320000.0
2021,,"Alfalfa, All",998,Sum of Others,7470.0,,,,,12944000.0
2021,,"Alfalfa, All",999,State Total,627114.0,,,,,1075989000.0
2021,181999.0,"Hay, Alfalfa",1,Alameda,95.0,6.0,570.0,219.3,Tons,125000.0
2021,181999.0,"Hay, Alfalfa",5,Amador,855.0,6.0,5130.0,309.94,Tons,1590000.0
2021,181999.0,"Hay, Alfalfa",7,Butte,507.0,4.5,2280.0,235.09,Tons,536000.0
2021,181999.0,"Hay, Alfalfa",11,Colusa,7770.0,6.11,47500.0,237.9,Tons,11300000.0
2021,181999.0,"Hay, Alfalfa",13,Contra Costa,1730.0,4.39,7600.0,203.82,Tons,1549000.0
2021,181999.0,"Hay, Alfalfa",19,Fresno,26000.0,9.0,234000.0,242.0,Tons,56628000.0
2021,181999.0,"Hay, Alfalfa",21,Glenn,7750.0,7.12,55200.0,229.85,Tons,12688000.0
2021,181999.0,"Hay, Alfalfa",25,Imperial,151000.0,8.17,1234000.0,203.96,Tons,251683000.0
2021,181999.0,"Hay, Alfalfa",27,Inyo,,,11400.0,229.04,Tons,2611000.0
2021,181999.0,"Hay, Alfalfa",29,Kern,53900.0,7.31,394000.0,227.42,Tons,89602000.0
2021,181999.0,"Hay, Alfalfa",31,Kings,22400.0,8.26,185000.0,248.62,Tons,45995000.0
2021,181999.0,"Hay, Alfalfa",39,Madera,,,73100.0,239.0,Tons,17471000.0
2021,181999.0,"Hay, Alfalfa",47,Merced,44400.0,6.37,283000.0,241.92,Tons,68462000.0
2021,181999.0,"Hay, Alfalfa",49,Modoc,39900.0,5.84,233000.0,246.2,Tons,57364000.0
2021,181999.0,"Hay, Alfalfa",51,Mono,,,58900.0,252.02,Tons,14844000.0
2021,181999.0,"Hay, Alfalfa",53,Monterey,730.0,2.49,1820.0,213.74,Tons,389000.0
2021,181999.0,"Hay, Alfalfa",63,Plumas,5480.0,3.19,17500.0,229.94,Tons,4024000.0
2021,181999.0,"Hay, Alfalfa",65,Riverside,52300.0,7.99,418000.0,180.17,Tons,75312000.0
2021,181999.0,"Hay, Alfalfa",67,Sacramento,13200.0,5.99,79100.0,227.91,Tons,18028000.0
2021,181999.0,"Hay, Alfalfa",71,San Bernardino,4210.0,7.22,30400.0,215.2,Tons,6542000.0
2021,181999.0,"Hay, Alfalfa",77,San Joaquin,41100.0,6.4,263000.0,238.2,Tons,62646000.0
2021,181999.0,"Hay, Alfalfa",79,San Luis Obispo,1420.0,5.25,7460.0,250.94,Tons,1872000.0
2021,181999.0,"Hay, Alfalfa",89,Shasta,2400.0,5.5,13200.0,236.97,Tons,3128000.0
2021,181999.0,"Hay, Alfalfa",91,Sierra,3220.0,2.7,8700.0,230.0,Tons,2001000.0
2021,181999.0,"Hay, Alfalfa",93,Siskiyou,35000.0,6.26,219000.0,208.73,Tons,45712000.0
2021,181999.0,"Hay, Alfalfa",95,Solano,23200.0,5.52,128000.0,223.48,Tons,28606000.0
2021,181999.0,"Hay, Alfalfa",99,Stanislaus,13400.0,7.09,95000.0,235.29,Tons,22353000.0
2021,181999.0,"Hay, Alfalfa",101,Sutter,3690.0,5.74,21200.0,251.79,Tons,5338000.0
2021,181999.0,"Hay, Alfalfa",103,Tehama,1250.0,5.95,7440.0,229.03,Tons,1704000.0
2021,181999.0,"Hay, Alfalfa",107,Tulare,34800.0,9.86,343000.0,241.0,Tons,82663000.0
2021,181999.0,"Hay, Alfalfa",113,Yolo,23800.0,6.22,148000.0,232.0,Tons,34336000.0
2021,181999.0,"Hay, Alfalfa",115,Yuba,237.0,5.99,1420.0,225.35,Tons,320000.0
2021,181999.0,"Hay, Alfalfa",998,Sum of Others,7470.0,,,,,12944000.0
2021,181999.0,"Hay, Alfalfa",999,State Total,623214.0,7.28,4626920.0,222.05,Tons,1040366000.0
2021,195199.0,Silage,39,Madera,,,21000.0,56.91,Tons,1195000.0
2021,195199.0,Silage,65,Riverside,3900.0,8.0,31200.0,240.0,Tons,7488000.0
2021,195199.0,Silage,107,Tulare,,,449000.0,60.0,Tons,26940000.0
2021,195199.0,Silage,999,State Total,3900.0,8.0,501200.0,71.08,Tons,35623000.0
2021,,"Almonds, All",7,Butte,37200.0,,,,,121933000.0
2021,,"Almonds, All",11,Colusa,67700.0,,,,,222455000.0
2021,,"Almonds, All",19,Fresno,287000.0,,,,,1437644000.0
2021,,"Almonds, All",21,Glenn,64500.0,,,,,240530000.0
2021,,"Almonds, All",29,Kern,231000.0,,,,,1198449000.0
2021,,"Almonds, All",31,Kings,37100.0,,,,,190674000.0
2021,,"Almonds, All",47,Merced,121000.0,,,,,520813000.0
2021,,"Almonds, All",61,Placer,4170.0,,,,,11830000.0
2021,,"Almonds, All",67,Sacramento,1750.0,,,,,7216000.0
2021,,"Almonds, All",77,San Joaquin,109000.0,,,,,486964000.0
2021,,"Almonds, All",95,Solano,22400.0,,,,,71123000.0
2021,,"Almonds, All",99,Stanislaus,227000.0,,,,,1084744000.0
2021,,"Almonds, All",107,Tulare,89600.0,,,,,355710000.0
2021,,"Almonds, All",113,Yolo,45100.0,,,,,141965000.0
2021,,"Almonds, All",115,Yuba,2640.0,,,,,6789000.0
2021,,"Almonds, All",998,Sum of Others,196000.0,,,,,880149000.0
2021,,"Almonds, All",999,State Total,1543160.0,,,,,6978988000.0
2021,268099.0,Almond Hulls,7,Butte,,,49400.0,125.06,Tons,6178000.0
2021,268099.0,Almond Hulls,11,Colusa,,,67700.0,70.02,Tons,4740000.0
2021,268099.0,Almond Hulls,19,Fresno,,,598000.0,130.0,Tons,77740000.0
2021,268099.0,Almond Hulls,21,Glenn,,,79800.0,135.0,Tons,10773000.0
2021,268099.0,Almond Hulls,31,Kings,,,89200.0,129.93,Tons,11590000.0
2021,268099.0,Almond Hulls,39,Madera,,,376000.0,140.12,Tons,52685000.0
2021,268099.0,Almond Hulls,47,Merced,,,245000.0,142.67,Tons,34955000.0
2021,268099.0,Almond Hulls,77,San Joaquin,,,251000.0,130.14,Tons,32666000.0
2021,268099.0,Almond Hulls,99,Stanislaus,,,525000.0,129.97,Tons,68232000.0
2021,268099.0,Almond Hulls,107,Tulare,,,174000.0,125.0,Tons,21750000.0
2021,268099.0,Almond Hulls,113,Yolo,,,44100.0,110.0,Tons,4851000.0
2021,268099.0,Almond Hulls,115,Yuba,,,,,,184000.0
2021,268099.0,Almond Hulls,998,Sum of Others,,,,,,4216000.0
