Commodity Code,Crop Name,Group_name
181999,HAY ALFALFA,Alfalfa
172119,SEED ALFALFA,Alfalfa
111992,CORN SILAGE,Corn
121229,COTTN LINT PIMA,Cotton
121299,COTTN LINT UNSPECIFIED,Cotton
121219,COTTN LINT UPLAND,Cotton
171519,COTTN SEED PLANTING,Cotton
151999,COTTNSEED,Cotton
161741,BEANS BLACKEYE (PEAS),Dry Beans
169999,BEANS DRY EDIBLE UNSPEC.,Dry Beans
162399,BEANS FAVA,Dry Beans
161742,BEANS GARBANZO,Dry Beans
161717,BEANS KIDNEY RED,Dry Beans
161131,BEANS LIMA LG. DRY,Dry Beans
161199,BEANS LIMA UNSPECIFIED,Dry Beans
161721,BEANS PINK,Dry Beans
171619,BEANS SEED,Dry Beans
163999,PEAS DRY EDIBLE,Dry Beans
171119,CORN SEED,Field
106269,FIELD CROP BY-PRODUCTS,Field
171949,FIELD CROPS SEED MISC.,Field
153999,PEANUTS ALL,Field
171639,PEAS SEED,Field
171582,SAFFLOWER SEED PLANTING,Field
173079,SEED BERMUDA GRASS,Field
172289,SEED CLOVER UNSPECIFIED,Field
173999,SEED GRASS UNSPECIFIED,Field
178999,SEED OTHER (NO FLOWERS),Field
173669,SEED SUDAN GRASS,Field
158316,SUNFLOWER SEED PLANTING,Field
113995,BARLEY FEED,Grain
171139,BARLEY SEED,Grain
113999,BARLEY UNSPECIFIED,Grain
111991,CORN GRAIN,Grain
112999,OATS GRAIN,Grain
171129,OATS SEED,Grain
104999,RYE GRAIN,Grain
171049,RYE SEED,Grain
101999,WHEAT ALL,Grain
171019,WHEAT SEED,Grain
106199,RICE MILLING,Rice
171069,RICE SEED,Rice
158269,SAFFLOWER,Safflower
158499,JOJOBA,Citrus & Subtropical
132999,SBEETS,Sugar Beets
161132,BEANS LIMA BABY DRY,Truck Crops
111998,CORN CRAZY,Truck Crops
111559,CORN WHITE,Truck Crops
171959,SEED VEG & VINECROP,Truck Crops
188799,HAY WILD,Field
188899,HAY SUDAN,Field
188999,HAY OTHER UNSPECIFIED,Field
192999,CORN POPCORN,Truck Crops
194599,PASTR IRRIGATED,Pasture
194799,PASTR FORAGE MISC.,Pasture
195299,HAY GREEN CHOP,Field
195399,STRAW,Field
198199,RICE WILD,Rice
198999,FIELD CROPS UNSPECIFIED,Field
201119,ORANGES NAVEL,Citrus & Subtropical
201519,ORANGES VALENCIA,Citrus & Subtropical
201999,ORANGES UNSPECIFIED,Citrus & Subtropical
202999,GRAPEFRUIT ALL,Citrus & Subtropical
203999,TANGERINES & MANDARINS,Citrus & Subtropical
204999,LEMONS ALL,Citrus & Subtropical
205999,LIMES ALL,Citrus & Subtropical
206999,TANGELOS,Citrus & Subtropical
207999,KUMQUATS,Citrus & Subtropical
208059,CITRU BY-PRODUCTS MISC.,Citrus & Subtropical
209999,CITRU UNSPECIFIED,Citrus & Subtropical
211999,APPLES ALL,Other Deciduous
212199,PEACHES FREESTONE,Other Deciduous
212399,PEACHES CLINGSTONE,Other Deciduous
212999,PEACHES UNSPECIFIED,Other Deciduous
213199,CHERRIES SWEET,Other Deciduous
214199,PEARS BARTLETT,Other Deciduous
214899,PEARS ASIAN,Other Deciduous
214999,PEARS UNSPECIFIED,Other Deciduous
215199,PLUMS,Other Deciduous
215399,PLUMCOTS,Other Deciduous
215999,PLUMS DRIED,Other Deciduous
216199,GRAPE TABLE,Vineyard
216299,GRAPE WINE,Vineyard
216399,GRAPE RAISIN,Vineyard
216999,GRAPE UNSPECIFIED,Vineyard
217999,APRICOTS ALL,Other Deciduous
218199,NECTARINES,Other Deciduous
218299,PERSIMMONS,Other Deciduous
